time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1.80000000,0.47929247,0.11251098,0.27400160,0.03825289,-0.02249291,-0.00003485,0.45732689,0.09395874,0.26723162,0.04394359,-0.02659769,-0.00009819,0.05997380,0.02893602,0.07136977,0.01770820,-0.01176337,-0.00013335,0.04633824,-0.03168167,-0.13037695,0.98987417
1.90000000,0.52502516,0.12190686,0.30072476,0.04264724,-0.02515268,-0.00004467,0.46332427,0.09685234,0.27436860,0.04571441,-0.02777403,-0.00011152,0.03661526,0.03436636,0.06557550,0.01578039,-0.01064723,-0.00013734,0.05046431,-0.03354705,-0.14271383,0.98790723
2.00000000,0.57135758,0.13159209,0.32816162,0.04721868,-0.02793008,-0.00005582,0.46698580,0.10028898,0.28092615,0.04729244,-0.02883876,-0.00012525,0.01309968,0.04046178,0.05978062,0.01365495,-0.00940191,-0.00014053,0.05461813,-0.03535305,-0.15515065,0.98574606
2.10000000,0.61805616,0.14162099,0.35625423,0.05194793,-0.03081396,-0.00006834,0.46829576,0.10433516,0.28690421,0.04865794,-0.02977895,-0.00013931,-0.01048516,0.04704149,0.05389128,0.01134103,-0.00803307,-0.00014288,0.05879136,-0.03711277,-0.16761339,0.98339817
2.20000000,0.66488574,0.15205451,0.38494466,0.05681372,-0.03379185,-0.00008227,0.46724725,0.10903931,0.29229334,0.04979204,-0.03058225,-0.00015359,-0.03404501,0.05391391,0.04781450,0.00885118,-0.00654853,-0.00014437,0.06297920,-0.03884118,-0.18002871,0.98087443
2.30000000,0.71161046,0.16295844,0.41417399,0.06179293,-0.03685008,-0.00009763,0.46384275,0.11443070,0.29707479,0.05067716,-0.03123711,-0.00016803,-0.05747914,0.06087970,0.04146048,0.00620139,-0.00495820,-0.00014500,0.06718018,-0.04055409,-0.19232462,0.97818885
2.40000000,0.75799474,0.17440151,0.44388147,0.06686064,-0.03997379,-0.00011444,0.45809483,0.12051867,0.30122084,0.05129730,-0.03173293,-0.00018253,-0.08068031,0.06773510,0.03474513,0.00341109,-0.00327413,-0.00014473,0.07139585,-0.04226725,-0.20443111,0.97535841
2.50000000,0.80380422,0.18645337,0.47400355,0.07199037,-0.04314708,-0.00013269,0.45002680,0.12729218,0.30469535,0.05163841,-0.03206034,-0.00019700,-0.10353487,0.07427535,0.02759252,0.00050296,-0.00151036,-0.00014357,0.07563019,-0.04399543,-0.21628086,0.97240272
2.60000000,0.84880690,0.19918259,0.50447309,0.07715421,-0.04635312,-0.00015239,0.43967332,0.13471971,0.30745460,0.05168870,-0.03221138,-0.00021136,-0.12592292,0.08029839,0.01993740,-0.00249716,0.00031711,-0.00014148,0.07988907,-0.04575160,-0.22780990,0.96934368
2.70000000,0.89277423,0.21265456,0.53521855,0.08232308,-0.04957426,-0.00017353,0.42708102,0.14274955,0.30944834,0.05143899,-0.03217967,-0.00022551,-0.14771864,0.08560861,0.01172752,-0.00556064,0.00219056,-0.00013847,0.08417946,-0.04754630,-0.23895834,0.96620498
2.80000000,0.93548234,0.22692952,0.56616338,0.08746698,-0.05279222,-0.00019608,0.41230916,0.15131041,0.31062110,0.05088292,-0.03196061,-0.00023936,-0.16879093,0.09002067,0.00292591,-0.00865637,0.00409077,-0.00013453,0.08850863,-0.04938714,-0.24967105,0.96301168
2.90000000,0.97671325,0.24206056,0.59722549,0.09255528,-0.05598828,-0.00022001,0.39543007,0.16031248,0.31091369,0.05001729,-0.03155153,-0.00025281,-0.18900437,0.09336337,-0.00648715,-0.01175122,0.00599727,-0.00012963,0.09288338,-0.05127845,-0.25989838,0.95978957
3.00000000,1.01625626,0.25809181,0.62831686,0.09755700,-0.05914344,-0.00024529,0.37652963,0.16964882,0.31026497,0.04884217,-0.03095180,-0.00026577,-0.20822050,0.09548338,-0.01651246,-0.01481060,0.00788870,-0.00012378,0.09730917,-0.05322119,-0.26959685,0.95656467
3.10000000,1.05390922,0.27505669,0.65934336,0.10244122,-0.06223862,-0.00027187,0.35570758,0.17919716,0.30861373,0.04736111,-0.03016293,-0.00027815,-0.22629959,0.09624876,-0.02713065,-0.01779908,0.00974317,-0.00011696,0.10178945,-0.05521298,-0.27872986,0.95336252
3.20000000,1.08947998,0.29297640,0.69020473,0.10717733,-0.06525491,-0.00029969,0.33307762,0.18882203,0.30590066,0.04558120,-0.02918862,-0.00028985,-0.24310277,0.09555222,-0.03830145,-0.02068104,0.01153871,-0.00010918,0.10632502,-0.05724838,-0.28726820,0.95020766
3.30000000,1.12278774,0.31185861,0.72079480,0.11173545,-0.06817377,-0.00032867,0.30876734,0.19837725,0.30207052,0.04351309,-0.02803475,-0.00030076,-0.25849465,0.09331394,-0.04996357,-0.02342144,0.01325369,-0.00010044,0.11091352,-0.05931926,-0.29519064,0.94712296
3.40000000,1.15366448,0.33169633,0.75100185,0.11608676,-0.07097725,-0.00035875,0.28291788,0.20770865,0.29707416,0.04117095,-0.02670938,-0.00031081,-0.27234620,0.08948377,-0.06203520,-0.02598657,0.01486732,-0.00009073,0.11554916,-0.06141542,-0.30248424,0.94412913
3.50000000,1.18195626,0.35246720,0.78070926,0.12020386,-0.07364818,-0.00038983,0.25568326,0.21665703,0.29087064,0.03857229,-0.02522264,-0.00031988,-0.28453801,0.08404282,-0.07441535,-0.02834481,0.01636007,-0.00008008,0.12022254,-0.06352519,-0.30914454,0.94124425
3.60000000,1.20752459,0.37413290,0.80979633,0.12406108,-0.07617045,-0.00042182,0.22722946,0.22506131,0.28342910,0.03573781,-0.02358664,-0.00032789,-0.29496365,0.07700412,-0.08698590,-0.03046737,0.01771420,-0.00006848,0.12492075,-0.06563614,-0.31517554,0.93848339
3.70000000,1.23024754,0.39663903,0.83813924,0.12763487,-0.07852911,-0.00045460,0.19773309,0.23276172,0.27473051,0.03269107,-0.02181522,-0.00033474,-0.30353299,0.06841250,-0.09961437,-0.03232898,0.01891412,-0.00005597,0.12962760,-0.06773583,-0.32058939,0.93585842
3.80000000,1.25002085,0.41991520,0.86561229,0.13090397,-0.08071063,-0.00048808,0.16737979,0.23960297,0.26476908,0.02945818,-0.01992380,-0.00034033,-0.31017530,0.05834343,-0.11215747,-0.03390852,0.01994678,-0.00004258,0.13432399,-0.06981247,-0.32540582,0.93337791
3.90000000,1.26675883,0.44387550,0.89208920,0.13384979,-0.08270301,-0.00052211,0.13636227,0.24543731,0.25355333,0.02606732,-0.01792913,-0.00034459,-0.31484199,0.04690091,-0.12446521,-0.03518944,0.02080196,-0.00002834,0.13898841,-0.07185549,-0.32965128,0.93104728
4.00000000,1.28039505,0.46841923,0.91744453,0.13645652,-0.08449593,-0.00055657,0.10487807,0.25012740,0.24110681,0.02254838,-0.01584893,-0.00034743,-0.31750865,0.03421442,-0.13638544,-0.03616018,0.02147250,-0.00001330,0.14359755,-0.07385599,-0.33335786,0.92886897
4.10000000,1.29088286,0.49343197,0.94155521,0.13871136,-0.08608082,-0.00059131,0.07312720,0.25354884,0.22746827,0.01893236,-0.01370168,-0.00034876,-0.31817627,0.02043513,-0.14776864,-0.03681432,0.02195440,0.00000247,0.14812691,-0.07580704,-0.33656192,0.92684291
4.20000000,1.29819558,0.51878686,0.96430204,0.14060460,-0.08745099,-0.00062619,0.04130957,0.25559236,0.21269140,0.01525093,-0.01150624,-0.00034851,-0.31687152,0.00573139,-0.15847272,-0.03715066,0.02224688,0.00001891,0.15255143,-0.07770373,-0.33930259,0.92496699
4.30000000,1.30232654,0.54434609,0.98557118,0.14212969,-0.08860161,-0.00066104,0.00962242,0.25616550,0.19684413,0.01153586,-0.00928155,-0.00034662,-0.31364600,-0.00971612,-0.16836764,-0.03717312,0.02235224,0.00003592,0.15684607,-0.07954307,-0.34162021,0.92323769
4.40000000,1.30328878,0.56996264,1.00525559,0.14328328,-0.08952977,-0.00069570,-0.02174218,0.25519388,0.18000737,0.00781855,-0.00704633,-0.00034303,-0.30857442,-0.02571947,-0.17733952,-0.03689045,0.02227576,0.00005342,0.16098632,-0.08132367,-0.34355476,0.92165068
4.50000000,1.30111456,0.59548203,1.02325633,0.14406513,-0.09023440,-0.00073000,-0.05259962,0.25262194,0.16227341,0.00412951,-0.00481875,-0.00033768,-0.30175190,-0.04208840,-0.18529401,-0.03631589,0.02202543,0.00007129,0.16494870,-0.08304529,-0.34514436,0.92020148
4.60000000,1.29585460,0.62074422,1.03948367,0.14447808,-0.09071628,-0.00076377,-0.08277481,0.24841310,0.14374401,0.00049792,-0.00261621,-0.00033055,-0.29329032,-0.05863501,-0.19215900,-0.03546670,0.02161167,0.00008942,0.16871107,-0.08470820,-0.34642404,0.91888600
4.70000000,1.28757712,0.64558553,1.05385807,0.14452787,-0.09097790,-0.00079683,-0.11210384,0.24254960,0.12452811,-0.00304875,-0.00045504,-0.00032161,-0.28331432,-0.07517773,-0.19788610,-0.03436367,0.02104697,0.00010767,0.17225304,-0.08631254,-0.34742469,0.91770100
4.80000000,1.27636673,0.66984049,1.06631088,0.14422300,-0.09102340,-0.00082899,-0.14043527,0.23503182,0.10473950,-0.00648512,0.00164965,-0.00031084,-0.27195678,-0.09154473,-0.20245136,-0.03303049,0.02034559,0.00012590,0.17555612,-0.08785759,-0.34817238,0.91664447
4.90000000,1.26232321,0.69334368,1.07678483,0.14357449,-0.09085844,-0.00086007,-0.16763095,0.22587735,0.08449437,-0.00978817,0.00368421,-0.00029825,-0.25935445,-0.10757643,-0.20585475,-0.03149322,0.01952311,0.00014398,0.17860407,-0.08934115,-0.34868794,0.91571582
5.00000000,1.24556011,0.71593141,1.08523427,0.14259567,-0.09049001,-0.00088990,-0.19356640,0.21511971,0.06390889,-0.01293749,0.00563652,-0.00028386,-0.24564367,-0.12312714,-0.20811883,-0.02977973,0.01859616,0.00016174,0.18138301,-0.09075888,-0.34898688,0.91491594
5.10000000,1.22620347,0.73744338,1.09162516,0.14130192,-0.08992636,-0.00091828,-0.21813076,0.20280699,0.04309701,-0.01591546,0.00749614,-0.00026768,-0.23095671,-0.13806588,-0.20928649,-0.02791913,0.01758200,0.00017904,0.18388167,-0.09210390,-0.34907954,0.91424716
5.20000000,1.20439040,0.75772408,1.09593486,0.13971038,-0.08917675,-0.00094505,-0.24122643,0.18900041,0.02216836,-0.01870737,0.00925434,-0.00024978,-0.21541876,-0.15227643,-0.20941797,-0.02594131,0.01649827,0.00019571,0.18609156,-0.09336645,-0.34897148,0.91371305
5.30000000,1.18026775,0.77662412,1.09815169,0.13783964,-0.08825131,-0.00097003,-0.26276831,0.17377276,0.00122656,-0.02130151,0.01090417,-0.00023021,-0.19914568,-0.16565661,-0.20858739,-0.02387643,0.01536267,0.00021160,0.18800715,-0.09453374,-0.34866399,0.91331818
5.40000000,1.15399092,0.79400140,1.09827435,0.13570949,-0.08716090,-0.00099305,-0.28268288,0.15720710,-0.01963218,-0.02368915,0.01244043,-0.00020905,-0.18224280,-0.17811712,-0.20687880,-0.02175449,0.01419268,0.00022656,0.18962606,-0.09558994,-0.34815468,0.91306782
