time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1.70000000,0.20242566,-0.43546666,-0.14293139,-0.07418922,0.04599093,-0.00007313,0.21428320,-0.48370683,-0.16191983,-0.07040568,0.04355594,-0.00000746,0.07236785,-0.18229828,-0.07267463,-0.00545885,0.00314928,0.00011348,-0.01669041,0.12102728,-0.01765568,0.99235180
1.80000000,0.22385398,-0.48383734,-0.15912337,-0.08122979,0.05034652,-0.00007388,0.22151998,-0.50193666,-0.16918729,-0.07095157,0.04387087,0.00000389,0.06810475,-0.17067906,-0.07074567,-0.00208646,0.00105535,0.00012158,-0.02070549,0.13403972,-0.01985881,0.99056057
1.90000000,0.24600597,-0.53403101,-0.17604210,-0.08832495,0.05473361,-0.00007349,0.22833046,-0.51900457,-0.17626186,-0.07116021,0.04397640,0.00001605,0.06414144,-0.15878350,-0.06871850,0.00117855,-0.00096575,0.00012902,-0.02528013,0.14740264,-0.02224060,0.98850327
2.00000000,0.26883902,-0.58593146,-0.19366828,-0.09544097,0.05913125,-0.00007189,0.23474460,-0.53488292,-0.18313371,-0.07104236,0.04387983,0.00002895,0.06053286,-0.14657333,-0.06655967,0.00433145,-0.00291079,0.00013577,-0.03042896,0.16105681,-0.02481573,0.98616376
2.10000000,0.29231348,-0.63941976,-0.21198166,-0.10254521,0.06351923,-0.00006899,0.24079789,-0.54954025,-0.18978968,-0.07060921,0.04358875,0.00004253,0.05733318,-0.13400967,-0.06423536,0.00736805,-0.00477699,0.00014185,-0.03615912,0.17494193,-0.02759854,0.98352740
2.20000000,0.31639327,-0.69437378,-0.23096062,-0.10960613,0.06787811,-0.00006474,0.24653121,-0.56294122,-0.19621321,-0.06987241,0.04311105,0.00005671,0.05459322,-0.12105327,-0.06171156,0.01028486,-0.00656210,0.00014725,-0.04246985,0.18899723,-0.03060242,0.98058138
2.30000000,0.34104639,-0.75066790,-0.25058194,-0.11659337,0.07218921,-0.00005907,0.25199053,-0.57504654,-0.20238437,-0.06884392,0.04245484,0.00007144,0.05235774,-0.10766491,-0.05895449,0.01307917,-0.00826446,0.00015196,-0.04935240,0.20316215,-0.03383898,0.97731489
2.40000000,0.36624544,-0.80817256,-0.27082038,-0.12347776,0.07643469,-0.00005192,0.25722630,-0.58581304,-0.20827982,-0.06753600,0.04162839,0.00008663,0.05066257,-0.09380617,-0.05593118,0.01574915,-0.00988309,0.00015597,-0.05679005,0.21737694,-0.03731737,0.97371945
2.50000000,0.39196807,-0.86675386,-0.29164836,-0.13023136,0.08059753,-0.00004326,0.26229256,-0.59519365,-0.21387294,-0.06596109,0.04064009,0.00010223,0.04953179,-0.07944049,-0.05261011,0.01829385,-0.01141766,0.00015927,-0.06475840,0.23158329,-0.04104360,0.96978912
2.60000000,0.41819733,-0.92627323,-0.31303566,-0.13682747,0.08466154,-0.00003304,0.26724574,-0.60313770,-0.21913395,-0.06413170,0.03949832,0.00011816,0.04897498,-0.06453449,-0.04896211,0.02071322,-0.01286855,0.00016186,-0.07322573,0.24572486,-0.04501991,0.96552084
2.70000000,0.44492190,-0.98658700,-0.33494905,-0.14324064,0.08861137,-0.00002122,0.27214324,-0.60959115,-0.22403016,-0.06206038,0.03821147,0.00013434,0.04898465,-0.04905969,-0.04496122,0.02300800,-0.01423676,0.00016372,-0.08215364,0.25974773,-0.04924430,0.96091461
2.80000000,0.47213623,-1.04754611,-0.35735207,-0.14944668,0.09243252,-0.00000779,0.27704170,-0.61449712,-0.22852628,-0.05975958,0.03678779,0.00015072,0.04953405,-0.03299445,-0.04058570,0.02517966,-0.01552387,0.00016483,-0.09149769,0.27360080,-0.05371016,0.95597384
2.90000000,0.49984040,-1.10899582,-0.38020470,-0.15542264,0.09611130,0.00000728,0.28199511,-0.61779656,-0.23258485,-0.05724162,0.03523540,0.00016720,0.05057548,-0.01632610,-0.03581899,0.02723014,-0.01673187,0.00016520,-0.10120817,0.28723611,-0.05840596,0.95070556
3.00000000,0.52803991,-1.17077548,-0.40346318,-0.16114680,0.09963484,0.00002400,0.28705266,-0.61942917,-0.23616675,-0.05451860,0.03356221,0.00018372,0.05203936,0.00094691,-0.03065054,0.02916161,-0.01786301,0.00016480,-0.11123085,0.30060906,-0.06331518,0.94512066
3.10000000,0.55674518,-1.23271840,-0.42707986,-0.16659866,0.10299106,0.00004238,0.29225659,-0.61933448,-0.23923181,-0.05160244,0.03177591,0.00020020,0.05383403,0.01881297,-0.02507648,0.03097620,-0.01891958,0.00016362,-0.12150787,0.31367859,-0.06841625,0.93923415
3.20000000,0.58597083,-1.29465185,-0.45100304,-0.17175890,0.10616865,0.00006240,0.29764000,-0.61745319,-0.24173945,-0.04850482,0.02988396,0.00021656,0.05584658,0.03724560,-0.01910000,0.03267564,-0.01990368,0.00016167,-0.13197845,0.32640737,-0.07368267,0.93306526
