time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1.70000000,-0.42076658,0.03795170,0.90600856,0.07229401,0.02660115,0.00027496,-0.44692438,0.15472156,0.87683151,0.03774798,0.05227492,0.00015378,-0.13641864,0.25263761,0.05950136,-0.06354666,0.05984544,-0.00021350,-0.03414440,-0.10075167,0.02259919,0.99406867
1.80000000,-0.46545902,0.05342385,0.99369171,0.07606881,0.03182864,0.00029034,-0.46056625,0.17998533,0.88278164,0.03139331,0.05825946,0.00013243,-0.12680678,0.26218710,0.00841842,-0.07078290,0.06163162,-0.00023830,-0.04102200,-0.11018512,0.02592733,0.99272564
1.90000000,-0.51151564,0.07142238,1.08196988,0.07920814,0.03765458,0.00030358,-0.47324693,0.20620404,0.88362349,0.02431502,0.06442262,0.00010860,-0.11794065,0.26977798,-0.04224724,-0.07743753,0.06305068,-0.00026107,-0.04854096,-0.11933870,0.02952147,0.99122678
2.00000000,-0.55884034,0.09204279,1.17033222,0.08163964,0.04409685,0.00031444,-0.48504099,0.23318183,0.87939876,0.01657127,0.07072769,0.00008250,-0.10965687,0.27530488,-0.09228947,-0.08346279,0.06407310,-0.00028164,-0.05663309,-0.12809110,0.03336383,0.98958184
2.10000000,-0.60734444,0.11536097,1.25827210,0.08329677,0.05116962,0.00032269,-0.49600668,0.26071232,0.87016982,0.00822499,0.07713500,0.00005433,-0.10174462,0.27867841,-0.14147381,-0.08881287,0.06467088,-0.00029987,-0.06521267,-0.13633234,0.03742661,0.98780567
2.20000000,-0.65694510,0.14143220,1.34528908,0.08411927,0.05888312,0.00032812,-0.50618114,0.28858016,0.85602244,-0.00065630,0.08360209,0.00002434,-0.09395241,0.27982760,-0.18954056,-0.09344487,0.06481818,-0.00031559,-0.07418006,-0.14396750,0.04167187,0.98591791
2.30000000,-0.70756322,0.17029022,1.43089133,0.08405364,0.06724333,0.00033056,-0.51557638,0.31656292,0.83706838,-0.01000079,0.09008391,-0.00000722,-0.08599801,0.27870219,-0.23620934,-0.09731992,0.06449198,-0.00032867,-0.08342622,-0.15091988,0.04605215,0.98394230
2.40000000,-0.75912086,0.20194651,1.51459816,0.08305356,0.07625172,0.00032984,-0.52417618,0.34443314,0.81344744,-0.01973278,0.09653311,-0.00004008,-0.07758115,0.27527447,-0.28118504,-0.10040422,0.06367276,-0.00033897,-0.09283796,-0.15713326,0.05051186,0.98190569
2.50000000,-0.81153847,0.23638983,1.59594291,0.08108028,0.08590503,0.00032583,-0.53193430,0.37196059,0.78532894,-0.02977320,0.10290038,-0.00007398,-0.06839837,0.26954067,-0.32416506,-0.10267015,0.06234508,-0.00034637,-0.10230362,-0.16257307,0.05498939,0.97983678
2.60000000,-0.86473190,0.27358589,1.67447580,0.07810296,0.09619507,0.00031843,-0.53877413,0.39891465,0.75291243,-0.04004022,0.10913489,-0.00010862,-0.05815934,0.26152172,-0.36484770,-0.10409737,0.06049826,-0.00035078,-0.11171866,-0.16722637,0.05941998,0.97776456
2.70000000,-0.91860932,0.31347735,1.74976705,0.07409894,0.10710855,0.00030757,-0.54459007,0.42506683,0.71642766,-0.05044995,0.11518472,-0.00014369,-0.04660354,0.25126311,-0.40294114,-0.10467373,0.05812681,-0.00035216,-0.12099082,-0.17110059,0.06373914,0.97571672
2.80000000,-0.97306832,0.35598403,1.82140981,0.06905394,0.11862703,0.00029320,-0.54925042,0.45019314,0.67613355,-0.06091733,0.12099740,-0.00017891,-0.03351613,0.23883391,-0.43817271,-0.10439615,0.05523093,-0.00035048,-0.13004438,-0.17422104,0.06788652,0.97371808
2.90000000,-1.02799337,0.40100335,1.88902317,0.06296221,0.13072677,0.00027531,-0.55260203,0.47407653,0.63231628,-0.07135694,0.12652049,-0.00021396,-0.01874170,0.22432466,-0.47029769,-0.10327117,0.05181671,-0.00034577,-0.13882289,-0.17662758,0.07180971,0.97178921
3.00000000,-1.08325357,0.44841100,1.95225480,0.05582652,0.14337881,0.00025391,-0.55447620,0.49650899,0.58528651,-0.08168406,0.13170216,-0.00024853,-0.00219454,0.20784428,-0.49910691,-0.10131515,0.04789630,-0.00033808,-0.14729032,-0.17837066,0.07546781,0.96994540
3.10000000,-1.13870119,0.49806190,2.01078345,0.04765811,0.15654903,0.00022906,-0.55469566,0.51729342,0.53537582,-0.09181557,0.13649179,-0.00028234,0.01613567,0.18951618,-0.52443258,-0.09855416,0.04348778,-0.00032752,-0.15543029,-0.17950733,0.07883414,0.96819611
3.20000000,-1.19417076,0.54979124,2.06432103,0.03847655,0.17019821,0.00020082,-0.55308209,0.53624504,0.48293256,-0.10167099,0.14084057,-0.00031509,0.03618328,0.16947388,-0.54615170,-0.09502330,0.03861487,-0.00031422,-0.16324359,-0.18009764,0.08189773,0.96654494
3.30000000,-1.24947896,0.60341575,2.11261428,0.02830945,0.18428227,0.00016931,-0.54946376,0.55319243,0.42831739,-0.11117332,0.14470206,-0.00034652,0.05781153,0.14785666,-0.56418689,-0.09076569,0.03330642,-0.00029836,-0.17074439,-0.18020189,0.08466335,0.96499002
3.40000000,-1.30442534,0.65873499,2.15544602,0.01719212,0.19875247,0.00013466,-0.54368261,0.56797809,0.37189870,-0.12024989,0.14803270,-0.00037635,0.08082193,0.12480577,-0.57850441,-0.08583105,0.02759586,-0.00028011,-0.17795564,-0.17987894,0.08714989,0.96352491
3.50000000,-1.35879360,0.71553280,2.19263589,0.00516713,0.21355574,0.00009703,-0.53560042,0.58045867,0.31404826,-0.12883299,0.15079229,-0.00040436,0.10496726,0.10046152,-0.58911002,-0.08027400,0.02152039,-0.00025967,-0.18490442,-0.17918557,0.08938736,0.96213969
3.60000000,-1.41235364,0.77357866,2.22404072,-0.00771617,0.22863497,0.00005659,-0.52510369,0.59050482,0.25513726,-0.13686039,0.15294432,-0.00043033,0.12996648,0.07496180,-0.59604307,-0.07415226,0.01512025,-0.00023725,-0.19161780,-0.17817684,0.09141293,0.96082220
3.70000000,-1.46486401,0.83262915,2.24955445,-0.02140220,0.24392940,0.00001356,-0.51210704,0.59800100,0.19553295,-0.14427562,0.15445635,-0.00045405,0.15551988,0.04844188,-0.59936963,-0.06752480,0.00843795,-0.00021304,-0.19811972,-0.17690689,0.09326651,0.95955921
3.80000000,-1.51607472,0.89242925,2.26910774,-0.03582977,0.25937504,-0.00003185,-0.49655506,0.60284519,0.13559599,-0.15102810,0.15530015,-0.00047536,0.18132308,0.02103566,-0.59917566,-0.06045017,0.00151760,-0.00018725,-0.20442901,-0.17542998,0.09498658,0.95833744
3.90000000,-1.56573022,0.95271377,2.28266734,-0.05093258,0.27490505,-0.00007938,-0.47842275,0.60494876,0.07567842,-0.15707311,0.15545191,-0.00049408,0.20707874,-0.00712218,-0.59556073,-0.05298509,-0.00559573,-0.00016005,-0.21055876,-0.17380128,0.09660672,0.95714432
